Employee Name,Email,Subject,Category,Priority,Status,Date Received,Response Due,Message
Maria Rodriguez,maria.r@company.com,PTO Request for Next Week,Leave,High,Pending,2026-02-19 13:20:00,2026-02-20 17:00:00,I need to request 3 days of PTO for next week (Feb 24-26). My manager approved verbally but I need to submit it officially.
Kevin White,kevin.w@company.com,Sick Leave Policy Question,Leave,Medium,Pending,2026-02-18 11:30:00,2026-02-22 17:00:00,Do I need a doctor's note if I'm out sick for 2 consecutive days? I have the flu and won't be in tomorrow.
Rachel Kim,rachel.k@company.com,Maternity Leave Duration,Leave,High,Pending,2026-02-17 14:15:00,2026-02-20 17:00:00,I'm expecting in May. What is the maternity leave policy and how much is paid vs unpaid?
Daniel Harris,daniel.h@company.com,Bereavement Leave,Leave,High,Resolved,2026-02-16 08:00:00,2026-02-17 17:00:00,My grandmother passed away yesterday. I need to travel for the funeral. What is our bereavement leave policy?
Jessica Clark,jessica.c@company.com,PTO Carryover Question,Leave,Low,Pending,2026-02-15 16:40:00,2026-02-23 17:00:00,I have 8 PTO days remaining. Do they carry over to next year or do I need to use them by December 31st?
Brandon Lewis,brandon.l@company.com,Jury Duty Leave,Leave,Medium,Resolved,2026-02-13 10:20:00,2026-02-17 17:00:00,I've been summoned for jury duty next month. Is this paid time off or do I need to use PTO?
Nicole Walker,nicole.w@company.com,FMLA Eligibility,Leave,High,Pending,2026-02-19 09:00:00,2026-02-21 17:00:00,I need to care for my father who is having major surgery. Am I eligible for FMLA and how do I apply?
Steven Young,steven.y@company.com,Vacation Blackout Dates,Leave,Low,Resolved,2026-02-11 15:50:00,2026-02-15 17:00:00,Are there blackout dates when we can't take vacation? I'm planning a trip in July.
Michelle Hall,michelle.h@company.com,Unpaid Leave Request,Leave,Medium,Pending,2026-02-18 13:45:00,2026-02-22 17:00:00,I'd like to take 2 weeks unpaid leave in June to visit family overseas. What's the approval process?
Ryan Allen,ryan.a@company.com,Holiday Schedule 2026,Leave,Low,Pending,2026-02-14 11:10:00,2026-02-26 17:00:00,Can someone send me the official holiday schedule for 2026? I need to plan my vacation days around them.
Thomas King,thomas.k@company.com,Missing Paycheck Deposit,Payroll,High,Pending,2026-02-20 07:30:00,2026-02-20 17:00:00,My paycheck was supposed to be deposited today but I don't see it in my account. Can you please check on this urgently?
Karen Wright,karen.w@company.com,Tax Withholding Update,Payroll,Medium,Pending,2026-02-19 12:15:00,2026-02-23 17:00:00,I need to update my W-4 to claim an additional dependent. Where do I submit the updated form?
Eric Scott,eric.s@company.com,Year-End W-2 Question,Payroll,Medium,Resolved,2026-02-12 14:00:00,2026-02-16 17:00:00,I never received my W-2 for 2025. Can you send me a copy? I need it for my tax filing.
Patricia Green,patricia.g@company.com,Direct Deposit Change,Payroll,High,Pending,2026-02-18 10:30:00,2026-02-21 17:00:00,I switched banks and need to update my direct deposit information. How quickly can this be processed?
Jason Adams,jason.a@company.com,Overtime Pay Discrepancy,Payroll,High,Pending,2026-02-19 08:45:00,2026-02-20 17:00:00,I worked 12 hours of overtime last pay period but it's not reflected in my paycheck. Can you investigate?
Laura Baker,laura.b@company.com,Bonus Payment Timeline,Payroll,Low,Pending,2026-02-17 15:20:00,2026-02-25 17:00:00,When will the annual performance bonuses be distributed? I was told they'd be paid in February.
Mark Nelson,mark.n@company.com,Expense Reimbursement,Payroll,Medium,Resolved,2026-02-13 11:00:00,2026-02-17 17:00:00,I submitted travel expenses 3 weeks ago. When can I expect reimbursement?
Angela Carter,angela.c@company.com,Pay Stub Access Issue,Payroll,Low,Pending,2026-02-16 13:30:00,2026-02-22 17:00:00,I can't access my pay stubs in the employee portal. It keeps giving me an error message.
Brian Mitchell,brian.m@company.com,Commission Structure Question,Payroll,Medium,Pending,2026-02-18 16:00:00,2026-02-22 17:00:00,My commission for January seems lower than expected. Can someone review my sales numbers and commission calculation?
Stephanie Roberts,stephanie.r@company.com,Final Paycheck After Termination,Payroll,High,Resolved,2026-02-10 09:15:00,2026-02-14 17:00:00,I was terminated last week. When will I receive my final paycheck including unused PTO?
Gregory Turner,gregory.t@company.com,I-9 Verification,Compliance,High,Pending,2026-02-20 10:00:00,2026-02-21 17:00:00,I'm a new hire starting Monday. HR said I need to complete I-9 verification. What documents should I bring?
Melissa Phillips,melissa.p@company.com,Sexual Harassment Training,Compliance,Medium,Pending,2026-02-19 14:45:00,2026-02-24 17:00:00,I missed the mandatory sexual harassment training last month. When is the next session scheduled?
Paul Campbell,paul.c@company.com,ADA Accommodation Request,Compliance,High,Pending,2026-02-18 11:00:00,2026-02-21 17:00:00,I have a medical condition that requires ergonomic equipment. What's the process for requesting ADA accommodations?
Sharon Parker,sharon.p@company.com,Equal Employment Opportunity,Compliance,Medium,Resolved,2026-02-15 15:15:00,2026-02-19 17:00:00,Where can I find the company's EEO policy? I need it for a report I'm working on.
Timothy Evans,timothy.e@company.com,OSHA Safety Concern,Compliance,High,Pending,2026-02-19 08:00:00,2026-02-20 17:00:00,There's a safety hazard in the warehouse - exposed wiring near the loading dock. Who should I report this to?
Diana Edwards,diana.e@company.com,Conflict of Interest Disclosure,Compliance,Low,Pending,2026-02-17 12:30:00,2026-02-23 17:00:00,My spouse started working for one of our vendors. Do I need to file a conflict of interest disclosure?
Carlos Collins,carlos.c@company.com,Background Check Question,Compliance,Medium,Pending,2026-02-16 09:30:00,2026-02-22 17:00:00,I received a conditional offer but the background check is taking longer than expected. Is this normal?
Rebecca Stewart,rebecca.s@company.com,Whistleblower Protection,Compliance,High,Resolved,2026-02-12 13:00:00,2026-02-16 17:00:00,I need information about whistleblower protections. I've witnessed policy violations and want to report them.
Andrew Morris,andrew.m@company.com,Drug Testing Policy,Compliance,Low,Pending,2026-02-14 16:20:00,2026-02-24 17:00:00,What is the company's drug testing policy? Is it random or only for cause?
Helen Rogers,helen.r@company.com,Privacy Rights Under GDPR,Compliance,Medium,Pending,2026-02-18 10:15:00,2026-02-22 17:00:00,I'm transferring to our EU office. What are my privacy rights under GDPR regarding employee data?
William Cook,william.c@company.com,Name Change After Marriage,General,Low,Pending,2026-02-19 11:00:00,2026-02-25 17:00:00,I got married last weekend and want to change my name in all company records. What forms do I need?
Nancy Morgan,nancy.m@company.com,Parking Pass Request,General,Low,Resolved,2026-02-13 14:30:00,2026-02-17 17:00:00,I need a parking pass for the main office garage. How do I request one?
Richard Bell,richard.b@company.com,Remote Work Equipment,General,Medium,Pending,2026-02-18 15:00:00,2026-02-22 17:00:00,I'm working from home 3 days a week. Can I request a second monitor and ergonomic keyboard for my home office?
Betty Murphy,betty.m@company.com,Employee Referral Bonus,General,Low,Pending,2026-02-17 10:45:00,2026-02-24 17:00:00,I referred someone who was hired last month. How do I claim the employee referral bonus?
Joseph Bailey,joseph.b@company.com,Tuition Reimbursement,General,Medium,Pending,2026-02-19 13:00:00,2026-02-23 17:00:00,I'm enrolled in an MBA program. What's the process for tuition reimbursement and what's covered?
Deborah Rivera,deborah.r@company.com,Company Directory Access,General,Low,Resolved,2026-02-11 12:00:00,2026-02-15 17:00:00,How do I access the company employee directory? I need to find contact info for someone in accounting.
Charles Cooper,charles.c@company.com,Performance Review Schedule,General,Medium,Pending,2026-02-16 09:00:00,2026-02-22 17:00:00,When are annual performance reviews scheduled? My manager mentioned mine is coming up soon.
Barbara Richardson,barbara.r@company.com,Employee Assistance Program,General,High,Pending,2026-02-20 08:30:00,2026-02-21 17:00:00,I'm going through a difficult time and could use counseling. What services does our EAP offer?
George Cox,george.c@company.com,Gym Membership Discount,General,Low,Pending,2026-02-15 16:00:00,2026-02-26 17:00:00,Do we have corporate discounts for gym memberships? I'm looking to join a gym near the office.
Sandra Howard,sandra.h@company.com,Internal Transfer Process,General,Medium,Resolved,2026-02-12 11:30:00,2026-02-16 17:00:00,I'm interested in transferring to the marketing department. What's the internal transfer process?
