Employee Name,Email,Subject,Category,Priority,Status,Date Received,Response Due,Message
Gregory Turner,gregory.t@company.com,I-9 Verification,Compliance,High,Pending,2/20/26 10:00,2/21/26 17:00,I'm a new hire starting Monday. HR said I need to complete I-9 verification. What documents should I bring?
Paul Campbell,paul.c@company.com,ADA Accommodation Request,Compliance,High,Pending,2/18/26 11:00,2/21/26 17:00,I have a medical condition that requires ergonomic equipment. What's the process for requesting ADA accommodations?
Sharon Parker,sharon.p@company.com,Equal Employment Opportunity,Compliance,Medium,Resolved,2/15/26 15:15,2/19/26 17:00,Where can I find the company's EEO policy? I need it for a report I'm working on.
Timothy Evans,timothy.e@company.com,OSHA Safety Concern,Compliance,High,Pending,2/19/26 8:00,2/20/26 17:00,There's a safety hazard in the warehouse - exposed wiring near the loading dock. Who should I report this to?
Diana Edwards,diana.e@company.com,Conflict of Interest Disclosure,Compliance,Low,Pending,2/17/26 12:30,2/23/26 17:00,My spouse started working for one of our vendors. Do I need to file a conflict of interest disclosure?
Carlos Collins,carlos.c@company.com,Background Check Question,Compliance,Medium,Pending,2/16/26 9:30,2/22/26 17:00,I received a conditional offer but the background check is taking longer than expected. Is this normal?
Rebecca Stewart,rebecca.s@company.com,Whistleblower Protection,Compliance,High,Resolved,2/12/26 13:00,2/16/26 17:00,I need information about whistleblower protections. I've witnessed policy violations and want to report them.
Andrew Morris,andrew.m@company.com,Drug Testing Policy,Compliance,Low,Pending,2/14/26 16:20,2/24/26 17:00,What is the company's drug testing policy? Is it random or only for cause?
Helen Rogers,helen.r@company.com,Privacy Rights Under GDPR,Compliance,Medium,Pending,2/18/26 10:15,2/22/26 17:00,I'm transferring to our EU office. What are my privacy rights under GDPR regarding employee data?
William Cook,william.c@company.com,Name Change After Marriage,General,Low,Pending,2/19/26 11:00,2/25/26 17:00,I got married last weekend and want to change my name in all company records. What forms do I need?
Nancy Morgan,nancy.m@company.com,Parking Pass Request,General,Low,Resolved,2/13/26 14:30,2/17/26 17:00,I need a parking pass for the main office garage. How do I request one?
Richard Bell,richard.b@company.com,Remote Work Equipment,General,Medium,Pending,2/18/26 15:00,2/22/26 17:00,I'm working from home 3 days a week. Can I request a second monitor and ergonomic keyboard for my home office?
Betty Murphy,betty.m@company.com,Employee Referral Bonus,General,Low,Pending,2/17/26 10:45,2/24/26 17:00,I referred someone who was hired last month. How do I claim the employee referral bonus?
Joseph Bailey,joseph.b@company.com,Tuition Reimbursement,General,Medium,Pending,2/19/26 13:00,2/23/26 17:00,I'm enrolled in an MBA program. What's the process for tuition reimbursement and what's covered?
Deborah Rivera,deborah.r@company.com,Company Directory Access,General,Low,Resolved,2/11/26 12:00,2/15/26 17:00,How do I access the company employee directory? I need to find contact info for someone in accounting.
Charles Cooper,charles.c@company.com,Performance Review Schedule,General,Medium,Pending,2/16/26 9:00,2/22/26 17:00,When are annual performance reviews scheduled? My manager mentioned mine is coming up soon.
Barbara Richardson,barbara.r@company.com,Employee Assistance Program,General,High,Pending,2/20/26 8:30,2/21/26 17:00,I'm going through a difficult time and could use counseling. What services does our EAP offer?
George Cox,george.c@company.com,Gym Membership Discount,General,Low,Pending,2/15/26 16:00,2/26/26 17:00,Do we have corporate discounts for gym memberships? I'm looking to join a gym near the office.
Sandra Howard,sandra.h@company.com,Internal Transfer Process,General,Medium,Resolved,2/12/26 11:30,2/16/26 17:00,I'm interested in transferring to the marketing department. What's the internal transfer process?
